Produto,Quantidade_prevista,Preco_desconto_Previsto,Publico Alvo
Calça Leg Lisa Cós Alto Suplex,125,28.56,2.0
Kit 6 Cuecas Box Sem Costura Boxer Lupo Microfibra Original,329,154.9,2.0
Calça Levi's 501 Original Masculina 100% Algodão Importada,140,268.82,0.0
Kit 5 Cuecas Anti Assadura Sem Atrito Academia E Corrida,101,126.25,1.0
Kit 3 Cuecas Boxer Lupo Tamanho Plus Size Masculina Original,1079,69.81,1.0
Kit 15 Cueca Boxer Tamanho Especial Plus Size Microfibra,206,103.53,1.0
Kit 4 Conjuntos Fitness Top E Short Roupas Feminina Academia,79,127.15,2.0
Short Masculino Logo adidas,125,79.39,1.0
Short Masculino Malha Plana Aeroready adidas,30,122.78,0.0
Calça Legging Feminina Preta Grossa Dia A Dia Valor De Ataca,319,32.74,1.0
Kit 7 Calcinha Cós Elegante Cos Alto Conforto Microfibra,120,45.99,3.0
Macacão Roupa De Apicultor Completa Proteção Contra Abelhas,998,154.95,2.0
Kit 3 Calças Jogger Masculina Jeans Com Punho Elastico,962,166.1,0.0
Kit 3 Bermuda Moletom Academia Ginastica Leve Estampado Top,94,108.34,2.0
Macacão Apicultor Roupa Proteção Abelha Com Máscara + Brinde,962,149.56,2.0
Kit 4 Cuecas Boxer Lupo Em Algodão Masculina Cotton Original,9812,70.12,0.0
Macacão Apicultor Roupa Proteção Abelha Com Máscara + Brinde,962,149.56,2.0
Kit Com 10 Cuecas Boxer Algodão Sem Costura Zorba 781,45975,159.9,0.0
Kit 10 Cuecas Boxer Selene Box Microfibra Masculina Atacado,508,179.7,2.0
Kit 4 Bermuda Dry Fit Masculina Poliéster Plus Size,49,143.24,0.0
Kit 10 Cuecas Boxer Lupo Cueca Box Algodão Masculina Atacado,3911,191.36,0.0
Kit 3 Short Jeans Feminino Levanta Bumbum Modela Cintura,99,128.42,1.0
Shorts Masculino Essentials Woven adidas,338,150.21,1.0
Kit 2 Cuecas Box Boxer Zorba Algodão Sem Costura 781 Full,390,39.79,1.0
Kit 4 Cuecas Boxer Puma Masculina Box Sem Costura Original,190,129.12,1.0
Kit 05 Shorts De Academia Treino Roupas Moda Fitness Atacado,79,103.32,1.0
Calça Social Plus Size Feminina Roupa 50 Ao 54,236,58.44,2.0
Kit 3 Bermuda Short Masculino Dry Fit Treino Plus Size,423,116.88,1.0
Kit 2 Calças Masculina Jeans Pra Trabalho Corte Reto,102,113.29,1.0
"Bermuda Térmica Masculina Esportiva Corrida, Academia Treino",8392,36.89,0.0
Macacão Roupa De Apicultor Completa Proteção Contra Abelhas,998,154.95,2.0
Kit 15 Cuecas Box Boxer Infantil Mallbeck De Microfibra.,238,54.33,1.0
Shorts Masculino Squadra 21 adidas,128,79.45,1.0
Kit 5 Cuecas Zorba Tradicional Slip Ligth Algodão Original,232,78.73,1.0
Kit 10 Cuecas Boxer Mash Algodão Cotton Box Original Oferta,8460,178.94,0.0
Macacão Roupa De Apicultor Completa Proteção Contra Abelhas,998,154.95,2.0
Short Jeans Feminino Cintura Alta Com Lycra Barra Desfiada,652,41.61,1.0
Kit 4 Cuecas Boxer Infantil Kids Menino Box Sem Costura Lupo,211,76.03,1.0
Macacão Roupa De Apicultor Completa Proteção Contra Abelhas,998,154.95,2.0
Kit 3 Cuecas Slip Tamanho Especial Plus Size Algodão Mash,386,60.66,1.0
Conjunto 2 Calça Masculina Jogger Swang Roupas Academia Slim,417,117.08,1.0
Kit 2 Calça Legging Flanelada Forrada Peluciada Inverno,360,41.64,1.0
Faixa Peitoral Para Ginecomastia Reduz Volume Do Peito Homem,55,96.51,0.0
Kit 3 Cuecas Masculinas Slip Cotton Calvin Klein,1958,159.7,1.0
Kit 10 Cuecas Boxer Lupo Cueca Box Algodão Masculina Atacado,3911,191.36,0.0
Calça Montaria Gorgurao Legging Feminina Leg Canelada Bolso,151,44.03,2.0
Short Saia Rodado Fitness Feminino Roupas Para Academia,134,31.01,1.0
Macacão Apicultor Roupa Proteção Abelha Com Máscara + Brinde,962,149.56,2.0
Calça Plus Size Jeans Feminina Wide Leg Levanta Bumbum,175,64.58,1.0
Kit 3 Short Jeans Feminino Cintura Alta Barato Atacado,972,117.56,1.0
